Search Gene	Found FBGN	Found Gene	embryo 00-02hr	embryo 02-04hr	embryo 04-06hr	embryo 06-08hr	embryo 08-10hr	embryo 10-12hr	embryo 12-14hr	embryo 14-16hr	embryo 16-18hr	embryo 18-20hr	embryo 20-22hr	embryo 22-24hr	larva L1	larva L2	larva L3 12hr old	larva L3 puffstage 1-2	larva L3 puffstage 3-6	larva L3 puffstage 7-9	white prepupae new	white prepupae 12hr	white prepupae 24hr	pupae 2d postWPP	pupae 3d postWPP	pupae 4d postWPP	adult male 01day	adult male 05day	adult male 30day	adult female 01day	adult female 05day	adult female 30day
FBgn0035449	FBgn0035449	CG14971	33	9	4	7	9	14	14	12	10	6	7	7	7	9	9	16	21	40	28	10	11	12	8	9	10	12	13	12	16	17
FBgn0035452	FBgn0035452	CG10359	0	0	0	0	0	1	1	3	14	37	39	49	24	20	35	25	31	62	49	82	31	11	32	16	7	4	3	4	1	1
FBgn0035453	FBgn0035453	CG10357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
FBgn0035458	FBgn0035458	ppk27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0035461	FBgn0035461	ntc	36	29	13	8	11	7	9	7	7	4	8	10	3	4	3	8	17	25	24	34	44	54	58	50	83	105	114	13	23	24
FBgn0035462	FBgn0035462	IntS10	19	13	8	6	8	6	8	5	5	2	5	6	2	3	2	3	4	5	5	6	8	5	2	1	2	4	3	4	10	10
FBgn0035464	FBgn0035464	CG12006	71	129	201	115	90	73	74	27	17	9	8	13	34	32	22	15	22	29	34	31	54	33	22	7	10	13	13	19	37	38
FBgn0035468	FBgn0035468	Gr63a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0
FBgn0035469	FBgn0035469	CG14977	54	74	55	54	53	48	53	39	44	31	31	31	33	33	27	44	52	66	73	65	66	57	41	33	39	43	42	45	48	49
FBgn0035470	FBgn0035470	Ccz1	7	15	22	16	16	16	13	8	7	7	7	7	8	9	8	10	12	14	14	14	17	12	8	8	9	11	11	9	11	11
FBgn0035471	FBgn0035471	Sc2	99	90	55	25	34	60	81	124	101	47	26	33	58	147	91	50	51	57	61	62	73	65	67	43	128	185	179	90	102	120
FBgn0035473	FBgn0035473	mge	76	16	18	74	99	140	134	89	84	77	107	92	141	114	77	33	37	51	49	53	80	111	135	86	109	122	114	61	79	83
FBgn0035475	FBgn0035475	CG10866	22	5	3	2	3	4	3	3	2	2	2	2	3	2	2	3	4	5	4	5	7	7	6	6	7	10	11	8	11	12
FBgn0035476	FBgn0035476	CG12766	0	0	0	0	0	0	0	0	1	9	66	74	12	9	8	1	0	0	0	1	1	1	1	5	16	10	11	10	1	2
FBgn0035477	FBgn0035477	CG14982	0	0	0	0	0	0	0	2	5	7	7	6	6	1	0	0	1	1	1	3	4	4	4	5	3	4	4	1	0	0
FBgn0035478	FBgn0035478	CG10853	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	560	51	35	1	3	0	0	0	0	0	0
FBgn0035479	FBgn0035479	CG14983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	4	5	7	7	5	3	6	11	9	0	0	0
FBgn0035480	FBgn0035480	CG14984	0	0	0	0	0	0	0	0	0	3	15	14	13	20	31	12	6	5	5	37	20	6	4	11	17	17	21	9	3	4
FBgn0035481	FBgn0035481	CG12605	0	0	0	0	1	2	3	2	2	2	2	3	2	1	0	1	3	4	4	9	15	16	11	9	15	21	21	1	0	0
FBgn0035482	FBgn0035482	CG14985	7	13	14	10	9	10	8	5	5	4	4	5	3	4	3	4	4	6	6	4	5	4	2	1	2	2	2	3	5	5
FBgn0035483	FBgn0035483	Mul1	30	24	20	15	14	19	13	15	13	11	10	8	15	13	10	9	14	15	14	23	33	38	38	35	47	64	67	16	15	18
FBgn0035484	FBgn0035484	CG11594	0	1	1	1	1	1	1	2	13	26	25	26	29	32	43	41	34	15	5	10	3	3	4	12	53	38	27	23	16	14
FBgn0035486	FBgn0035486	Gr64d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
FBgn0035488	FBgn0035488	CG11593	45	17	31	24	17	12	13	10	10	9	7	7	6	4	4	6	10	15	17	16	22	15	8	8	7	9	9	14	27	27
FBgn0035495	FBgn0035495	CG14989	0	0	0	2	4	21	30	27	48	50	50	64	41	20	7	12	10	10	9	12	18	25	30	30	26	25	22	11	5	4
FBgn0035496	FBgn0035496	CG14990	0	0	0	0	0	1	1	3	5	3	3	3	10	16	19	32	27	17	16	3	4	6	2	2	10	7	5	3	3	2
FBgn0035497	FBgn0035497	CG14995	9	11	12	14	16	17	37	21	15	21	23	24	11	7	10	13	34	44	42	85	122	175	131	149	206	260	303	13	7	7
FBgn0035498	FBgn0035498	Fit1	43	57	38	32	33	32	38	35	45	64	78	79	33	29	29	22	34	39	44	44	33	28	33	39	37	32	32	33	33	34
FBgn0035499	FBgn0035499	Chd64	63	70	16	17	35	149	216	195	167	186	275	340	172	296	210	320	322	400	384	161	80	114	188	208	110	98	113	121	121	127
FBgn0035501	FBgn0035501	CG1299	0	0	0	0	2	6	5	2	10	38	21	20	15	8	33	23	49	76	32	124	37	19	4	65	25	28	31	22	8	7
FBgn0035504	FBgn0035504	Teh4	0	0	0	1	1	4	10	16	21	22	14	18	12	3	1	1	1	1	1	1	1	2	4	3	2	3	3	1	0	0
FBgn0035505	FBgn0035505	Teh2	0	1	2	1	1	1	3	4	4	5	5	6	7	3	1	1	1	1	1	3	5	11	17	9	9	10	10	5	2	1
FBgn0035508	FBgn0035508	CG15005	0	0	0	1	1	1	4	48	46	4	0	0	0	5	1	0	0	1	1	5	4	63	2	5	0	0	0	0	0	0
FBgn0035510	FBgn0035510	Cpr64Aa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	9	5	1	44	4	130	5585	1584	14	1	0	15	0	0
FBgn0035511	FBgn0035511	Cpr64Ab	1	0	1	1	3	2	2	73	721	325	5	6	6	159	129	0	0	0	0	4	4	10	215	22	0	0	0	0	0	0
FBgn0035512	FBgn0035512	Cpr64Ac	0	0	0	0	0	0	0	0	2	5	1	3	0	0	1	0	0	1	4	36	3	223	8027	403	2	1	1	2	0	0
FBgn0035513	FBgn0035513	Cpr64Ad	2	2	1	2	3	3	5	165	673	967	30	35	12	632	838	3	1	1	1	450	16	28	174	104	1	1	1	1	0	0
FBgn0035515	FBgn0035515	CG14997	13	13	4	3	5	9	7	6	16	8	16	14	21	21	36	36	35	30	17	21	21	24	14	21	27	29	28	16	13	15
FBgn0035517	FBgn0035517	CG1265	21	14	30	29	26	19	11	7	16	34	98	87	50	22	73	84	59	46	25	18	18	18	12	21	43	42	37	31	26	28
FBgn0035518	FBgn0035518	CG15011	26	4	5	10	13	14	10	10	6	4	5	6	10	11	10	8	9	11	12	10	13	9	5	5	6	8	9	11	16	17
FBgn0035519	FBgn0035519	CG1309	45	17	13	23	28	31	38	36	27	20	16	17	25	32	23	23	27	30	31	27	36	47	35	24	42	58	57	28	35	37
FBgn0035520	FBgn0035520	CG11586	41	56	50	49	45	42	30	23	18	13	16	15	11	11	9	13	17	20	21	22	27	24	17	12	17	21	20	16	24	26
FBgn0035522	FBgn0035522	CG1273	0	2	6	24	39	46	96	52	3	1	1	1	1	20	2	1	4	12	25	3	38	26	1	1	0	0	0	0	0	0
FBgn0035524	FBgn0035524	CG11583	61	96	80	76	75	57	55	29	28	19	52	45	63	34	20	8	11	15	14	12	13	13	7	7	6	8	7	29	55	54
FBgn0035526	FBgn0035526	CG1316	28	57	126	63	54	47	58	37	32	24	19	20	31	23	20	22	35	40	38	49	68	57	26	18	26	36	39	23	28	26
FBgn0035528	FBgn0035528	CG15012	38	72	105	74	82	102	89	38	38	25	28	37	27	30	34	67	99	157	164	120	116	82	48	35	50	43	44	43	46	47
FBgn0035529	FBgn0035529	Fdx2	69	17	18	22	22	34	33	37	43	47	71	75	73	55	48	34	44	79	100	22	19	22	27	43	48	40	40	45	58	60
FBgn0035532	FBgn0035532	CG15014	43	10	16	16	17	17	15	11	6	4	6	5	24	15	10	9	11	14	14	12	17	15	9	8	11	18	17	26	36	38
FBgn0035533	FBgn0035533	Cip4	37	42	29	44	48	58	68	46	43	30	30	32	16	15	11	11	23	35	40	38	52	41	31	17	16	14	14	20	27	24
FBgn0035534	FBgn0035534	mRpS6	29	41	38	33	31	42	30	31	37	34	34	29	41	52	35	12	12	14	14	14	21	31	39	17	16	22	18	21	25	25
FBgn0035537	FBgn0035537	CG11342	9	4	4	5	4	4	4	1	1	1	2	2	3	3	2	2	2	3	2	2	2	2	1	1	1	1	1	2	7	7
FBgn0035538	FBgn0035538	DopEcR	0	0	0	1	1	3	8	11	12	12	16	20	17	7	3	3	3	2	1	4	6	11	18	20	12	14	15	6	3	2
FBgn0035539	FBgn0035539	slow	0	1	4	12	13	26	34	44	52	29	3	4	2	2	3	5	9	38	110	102	30	21	15	82	9	4	4	8	5	4
FBgn0035540	FBgn0035540	Syx17	20	5	4	7	7	8	8	9	16	20	14	16	5	4	4	9	14	20	21	20	16	19	12	9	12	13	10	9	14	14
FBgn0035541	FBgn0035541	CG15019	34	34	84	78	74	54	78	17	26	24	66	76	56	47	34	23	24	35	25	22	22	23	13	9	12	16	11	19	57	52
FBgn0035542	FBgn0035542	DOR	1	15	41	43	29	39	42	66	95	107	53	50	14	8	25	89	110	77	59	44	36	36	28	156	162	140	92	103	42	38
FBgn0035543	FBgn0035543	CG15020	0	0	0	0	0	0	0	1	6	8	2	3	0	1	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0
FBgn0035544	FBgn0035544	CG15021	0	0	0	0	1	1	1	8	57	203	961	541	106	27	64	10	8	3	2	2	0	15	501	282	186	104	116	152	10	9
FBgn0035545	FBgn0035545	CG12607	0	0	0	0	1	1	1	12	129	515	289	270	138	93	343	11	1	1	0	0	1	2	0	3	0	0	0	0	0	0
