Search Gene	Found FBGN	Found Gene	imaginal disc, larvae L3 wandering	central nervous system, larvae L3	central nervous system, pupae P8	head, virgin 1-day female	head, virgin 4-day female	head, virgin 20-day female	head, mated 1-day female	head, mated 4-day female	head, mated 20-day female	head, mated 1-day male	head, mated 4-day male	head, mated 20-day male	salivary gland, larvae L3 wandering	salivary gland, white prepupae	digestive system, larvae L3 wandering	digestive system, 1-day adult	digestive system, 4-day adult	digestive system, 20-day adult	fat body, larvae L3 wandering	fat body, white prepupae	fat body, pupae P8	carcass, larvae L3 wandering	carcass, 1-day adult	carcass, 4-day adult	carcass, 20-day adult	ovary, virgin 4-day female	ovary, mated 4-day female	testis, mated 4-day male	accessory gland, mated 4-day male
FBgn0028962	FBgn0028962	Aats-ala-m	5	6	4	3	2	4	4	3	3	3	4	6	0	1	3	3	4	4	2	2	0	5	5	5	4	11	8	4	4
FBgn0028963	FBgn0028963	Or49b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0028965	FBgn0028965	A16	123	71	36	23	25	16	27	20	15	32	28	34	20	40	46	22	23	26	32	37	57	60	21	26	27	84	106	132	64
FBgn0028968	FBgn0028968	gammaCOP	35	23	15	14	10	22	9	12	18	14	15	22	15	54	21	24	20	23	13	19	19	30	11	14	16	38	23	36	60
FBgn0028969	FBgn0028969	deltaCOP	32	25	15	19	14	22	12	13	17	14	17	26	19	43	25	26	21	25	12	11	22	28	13	16	16	32	28	42	66
FBgn0028970	FBgn0028970	betaggt-II	11	12	7	8	5	12	3	6	8	9	9	15	3	6	11	14	7	12	2	5	8	6	4	5	6	7	5	17	6
FBgn0028978	FBgn0028978	trbl	30	17	6	9	16	19	13	13	11	13	12	20	3	11	31	29	24	39	9	7	21	27	17	18	28	44	49	15	13
FBgn0028979	FBgn0028979	tio	13	12	11	2	3	2	2	3	1	3	5	3	0	1	0	1	1	0	0	2	3	7	3	3	2	0	0	10	3
FBgn0028980	FBgn0028980	tan	69	38	25	10	9	6	7	6	6	14	11	11	15	57	23	6	6	5	3	24	25	25	4	5	5	60	50	257	49
FBgn0028982	FBgn0028982	Spt6	30	57	27	24	23	17	23	18	17	25	25	26	3	18	17	12	17	18	10	18	22	39	15	19	16	55	67	9	33
FBgn0028983	FBgn0028983	Spn55B	16	4	2	2	1	5	1	2	3	2	2	6	30	12	72	71	32	50	11	3	0	13	5	3	5	1	1	3	4
FBgn0028984	FBgn0028984	Spn88Ea	20	11	26	8	8	20	7	8	13	13	15	31	1	7	6	5	4	6	1	4	52	40	12	17	19	27	17	7	69
FBgn0028988	FBgn0028988	Spn42Dd	2	1	7	28	38	123	29	51	86	31	71	103	4	18	7	12	8	8	42	188	77	6	36	41	89	1	1	55	525
FBgn0028990	FBgn0028990	Spn27A	23	10	5	15	11	17	10	11	12	16	20	30	2	4	11	8	7	9	26	9	43	28	18	18	23	14	13	2	2
FBgn0028991	FBgn0028991	seq	33	158	49	18	23	14	22	18	16	33	32	27	2	10	13	8	15	18	6	12	25	28	6	9	8	36	39	4	14
FBgn0028992	FBgn0028992	sds22	142	100	42	29	32	26	24	20	22	29	31	45	15	29	80	27	25	24	36	86	55	92	21	24	28	122	84	85	57
FBgn0028996	FBgn0028996	onecut	3	43	49	20	20	19	16	21	15	31	38	37	0	1	0	0	0	0	0	2	6	7	2	2	1	0	0	0	1
FBgn0028997	FBgn0028997	nmdyn-D7	42	2	1	0	0	0	0	0	0	0	0	0	0	2	3	1	1	1	0	7	4	3	0	1	1	20	18	128	18
FBgn0028999	FBgn0028999	nerfin-1	13	149	4	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	5	8	20	0	0	0	0	0	0	3
FBgn0029002	FBgn0029002	miple2	157	68	97	21	6	2	18	5	3	20	8	7	11	60	124	28	35	38	115	401	265	153	10	5	3	28	39	16	8
FBgn0029003	FBgn0029003	mab-21	45	21	14	3	3	4	3	4	2	4	5	5	0	2	7	0	0	0	1	5	4	32	2	3	2	0	0	0	0
FBgn0029006	FBgn0029006	Smurf	45	34	44	13	15	17	12	15	14	20	26	28	2	9	14	11	16	16	8	19	26	23	11	13	15	52	49	36	18
FBgn0029067	FBgn0029067	Dd	17	15	22	14	15	10	14	13	8	18	24	18	5	21	8	13	16	10	3	21	9	11	9	10	9	40	27	6	5
FBgn0029079	FBgn0029079	icln	27	63	30	3	4	2	1	5	2	2	5	8	1	1	7	4	7	4	1	6	8	26	3	6	2	45	53	7	3
FBgn0029082	FBgn0029082	hbs	12	17	27	2	1	2	2	2	2	4	3	3	0	1	0	0	0	0	0	3	18	10	0	1	1	0	0	0	2
FBgn0029084	FBgn0029084	gom	50	0	2	0	0	0	0	0	0	0	0	0	1	5	1	2	3	0	2	16	32	0	0	0	0	0	0	272	47
FBgn0029088	FBgn0029088	disp	10	7	12	3	4	4	3	3	4	6	6	6	0	2	4	2	2	2	1	3	3	7	2	2	3	19	13	2	3
FBgn0029091	FBgn0029091	CS-2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	14	31	27	38	0	0	3	0	1	1	1	0	0	1	2
FBgn0029092	FBgn0029092	ced-6	20	31	32	74	80	55	79	68	56	104	91	103	7	24	126	20	26	16	129	251	137	73	64	68	80	191	182	6	21
FBgn0029093	FBgn0029093	cathD	140	211	77	67	111	269	73	140	202	144	208	466	40	193	917	244	157	273	712	1350	917	224	167	138	193	109	77	153	84
FBgn0029094	FBgn0029094	asf1	19	23	5	7	4	5	4	4	3	5	5	7	7	4	14	6	7	8	1	7	13	19	4	6	6	104	70	7	5
FBgn0029095	FBgn0029095	aru	19	6	5	13	10	12	15	12	10	19	18	21	0	1	3	6	6	5	1	4	13	17	11	10	10	6	6	32	29
FBgn0029105	FBgn0029105	alpha-catenin-related	2	19	15	13	12	12	10	14	11	20	25	30	0	0	0	0	0	0	0	1	3	3	1	1	1	0	0	1	1
FBgn0029113	FBgn0029113	Uba2	67	76	18	7	8	7	6	8	7	7	12	15	3	5	13	11	13	12	6	14	21	61	7	11	9	88	85	22	10
