gene	locus	altname	fpkm (geomean)
php	b3379		0.5989
yhfW	b3380		0.2623
yhfX	b3381		-0.1039
dam	b3387		4.477
trpS	b3384		5.403
gph	b3385		5.27
rpe	b3386		5.49
na	b3388		5.869
aroB	b3389		5.777
na	b3390		6.329
mrcA	b3396		3.121
na	b3397		5.191
igaA	b3398		3.48
na	b3391		1.304
na	b3392		0.8886
hofO	b3393		-2.07
na	b3394		-0.8678
hofM	b3395		1.529
yrfG	b3399		4.104
na	b3400		4.426
hslO	b3401		4.685
yhgE	b3402		2.858
pck	b3403		5.397
greB	b3406		4.121
envZ	b3404		3.882
ompR	b3405		5.319
yhgF	b3407		4.48
na	b3408		5.958
fusA	b3340		8.337
rpnA	b3411		2.213
bioH	b3412		3.579
yhgH	b3413		3.62
feoB	b3409		5.109
na	b3410		3.375
gntT	b3415		2.838
nfuA	b3414		5.536
malQ	b3416		4.192
malP	b3417		4.793
rtcA	b4475		2.399
rtcB	b3421		2.788
glpE	b3425		4.146
rtcR	b3422		1.751
na	b3423		4.114
glpG	b3424		3.81
glpD	b3426		2.767
na	b3427		2.615
malT	b3418		5.28
glgP	b3428		5.812
glgA	b3429		5.964
glgC	b3430		6.385
glgX	b3431		5.55
glgB	b3432		5.941
na	b3434		2.841
gntU	b4476		1.597
gntK	b3437		2.473
na	b3439		3.647
gntR	b3438		4.661
yhhY	b3441		3.588
na	b4451		-22.7
na	b3444		-22.7
na	G0-10540		-22.7
insB-6	b3445		-22.7
na	b4612		-22.7
yhhZ	b3442		-1.9
na	b3443		-10.11
yhhX	b3440		5.095
na	b3446		1.729
ugpE	b3451		1.73
na	b3452		1.581
ggt	b3447		4.285
ugpB	b3453		3.649
na	b3448		4.436
ugpQ	b3449		4.018
ugpC	b3450		3.181
livF	b3454		5.287
asd	b3433		7.318
livG	b3455		5.209
livM	b3456		4.883
livH	b3457		4.486
panZ	b3459		3.511
livK	b3458		6.015
na	b3461		5.932
ftsX	b3462		4.279
ftsE	b3463		4.826
na	b3467		4.269
yhhN	b3468		4.152
rsmD	b3465		4.168
na	b3466		2.759
na	b3464		4.541
na	b3470		5.417
zntA	b3469		3.852
yhhQ	b3471		3.151
yhhS	b3473		3.193
dcrB	b3472		5.293
yhhT	b3474		2.731
acpT	b3475		4.116
na	b4552		-3.726
rhsB	b3482		1.299
yhhH	b3483		0.9824
nikR	b3481		4.027
yhhI	b3484		0.5921
nikA	b3476		3.098
nikB	b3477		1.8
na	b3478		1.465
nikD	b3479		2.053
nikE	b3480		2.398
livJ	b3460		6.886
yhiJ	b3488		1.94
yhiM	b3491		2.374
na	b3489		-8.79
na	b3490		-0.01706
yhiN	b3492		3.69
uspB	b3494		4.555
na	b3485		4.239
rbbA	b3486		4.167
na	b3487		4.397
pitA	b3493		4.792
dtpB	b3496		2.951
rsmJ	b3497		3.466
uspA	b3495		7.814
na	b3499		4.044
prlC	b3498		4.929
na	b4613		-15
arsR	b3501		2.941
arsC	b3503		2.717
yhiS	b3504		-5.737
arsB	b3502		1.343
gor	b3500		5.11
na	G0-10683		-10.19
insH-11	b3505		4.971
dctR	b3507		3.327
yhiD	b3508		3.697
slp	b3506		6.131
hdeB	b3509		7.817
na	b3510		8.418
hdeD	b3511		5.932
mdtE	b3513		3.466
gadE	b3512		5.657
mdtF	b3514		3.206
na	b4452		-22.7
gadW	b3515		5.214
gadX	b3516		6.211
ccp	b3518		2.756
yhjB	b3520		2.838
yhjC	b3521		3.387
treF	b3519		4.08
yhjD	b3522		3.988
gadA	b3517		5.611
pdeH	b3525		-1.367
yhjG	b3524		3.713
yhjJ	b3527		3.667
kdgK	b3526		4.34
dctA	b3528		3.262
pdeK	b3529		2.939
na	b3523		5.746
na	b3535		0.2703
bcsB	b3532		2.17
bcsA	b3533		1.335
na	b3534		3.144
bcsC	b3530		2.817
bcsZ	b3531		1.963
na	b4453		-22.7
na	b4454		-22.7
yhjV	b3539		2.39
dppC	b3542		3.951
dppB	b3543		3.394
bcsE	b3536		5.142
na	b3537		2.957
bcsG	b3538		4.144
dppF	b3540		4.478
dppD	b3541		4.495
na	b3545		-22.7
yhjX	b3547		1.345
eptB	b3546		2.771
na	b3548		4.771
yiaD	b3552		2.57
tag	b3549		4.646
yiaC	b3550		3.601
bisC	b3551		3.967
ghrB	b3553		5.839
yiaF	b3554		5.931
na	b3555		7.182
dppA	b3544		6.812
na	b3556		6.661
na	b4455		-20.82
na	b4614		-22.7
na	b3557		0.3676
na	G0-10624		1.8
insK	b3558		-14.51
na	b4553		2.04
yiaB	b3563		-0.005556
na	b3562		-1.049
wecH	b3561		2.334
xylA	b3565		2.87
xylB	b3564		1.933
xylR	b3569		3.468
xylF	b3566		1.245
glyQ	b3560		5.898
glyS	b3559		5.808
xylG	b3567		1.429
na	b3568		1.499
malS	b3571		2.277
bax	b3570		5.439
na	b3573		3.47
yiaL	b3576		-2.037
yiaM	b3577		-7.489
yiaK	b3575		1.415
na	b3579		-1.356
yiaN	b3578		-1.624
avtA	b3572		5.416
na	b4649		-22
na	b4648		-22.7
yiaJ	b3574		3.578
na	b3584		1.144
na	b3587		-2.522
yiaU	b3585		2.781
na	b3586		0.8953
yiaY	b3589		-1.315
lyxK	b3580		0.9905
sgbH	b3581		0.9549
sgbU	b3582		1.477
sgbE	b3583		2.469
aldB	b3588		2.8
yibF	b3592		4.322
rhsA	b3593		1.151
yibA	b3594		2.623
yibG	b3596		1.381
yibJ	b3595		1.661
na	b4650		-10.04
na	b4651		-1.402
na	b4652		-21.05
yibV	b4615		-8.496
selB	b3590		4.639
selA	b3591		4.545
na	b3597		2.525
na	b3598		3.128
mtlA	b3599		4.462
na	b4554		6.636
na	b3602		5.25
mtlD	b3600		5.03
mtlR	b3601		4.385
trmL	b3606		3.382
cysE	b3607		4.916
lldP	b3603		2.114
lldR	b3604		2.112
lldD	b3605		2.856
na	b3610		5.773
gpsA	b3608		5.077
secB	b3609		6.65
na	b3611		6.435
envC	b3613		4.426
yibQ	b3614		3.442
waaH	b3615		0.7466
tdh	b3616		4.492
kbl	b3617		3.897
htrL	b3618		4.623
gpmM	b3612		6.804
waaF	b3620		4.611
waaC	b3621		4.102
rfaD	b3619		5.938
waaL	b3622		4.312
waaZ	b3624		4.209
waaU	b3623		4.474
waaY	b3625		4.417
waaJ	b3626		4.58
waaS	b3629		4.403
waaO	b3627		4.429
waaB	b3628		4.489
na	b3634		3.944
mutM	b3635		2.591
waaA	b3633		4.006
waaP	b3630		4.333
waaG	b3631		4.247
waaQ	b3632		4.316
na	b3636		7.983
na	b3637		7.753
yicR	b3638		2.294
slmA	b3641		5.084
pyrE	b3642		2.57
dfp	b3639		4.678
dut	b3640		5.305
rph	b3643		4.575
dinD	b3645		1.984
yicC	b3644		5.013
yicG	b3646		1.43
ligB	b3647		1.347
na	b3649		6.636
na	b3648		6.012
trmH	b3651		4.175
gltS	b3653		3.878
recG	b3652		3.617
xanP	b3654		4.304
spoT	b3650		5.22
na	b3658		-22.7
na	b4653		-22.7
yicJ	b3657		0.6633
yicI	b3656		1.999
setC	b3659		0.6103
yicL	b3660		3.513
na	b3655		4.699
na	b4555		3.25
nepI	b3662		2.288
na	b3663		3.06
adeQ	b3664		0.4385
adeD	b3665		2.324
uhpT	b3666		0.2914
uhpC	b3667		2.07
nlpA	b3661		5.983
uhpB	b3668		2.321
uhpA	b3669		4.323
na	b3670		6.096
na	b3672		-22.7
na	b4618		-22.7
na	G0-10202		-22.7
na	b4616		-22.04
emrD	b3673		-1.401
na	b3677		3.132
yidF	b3674		2.876
na	b3675		2.026
na	b3676		3.095
glvC	b3683		-0.1639
na	b3686		3.513
yidJ	b3678		1.179
yidK	b3679		0.1794
ilvB	b3671		5.275
yidP	b3684		1.074
yidE	b3685		3.852
na	b3687		5.286
yidL	b3680		2.392
na	b4556		-17.37
glvG	b3681		1.943
glvB	b3682		-4.693
yidQ	b3688		5.323
yidR	b3689		3.447
cbrA	b3690		1.157
dgoT	b3691		1.207
yidX	b3696		3.196
yidA	b3697		5.062
na	b3698		4.824
dgoD	b4478		2.047
dgoA	b4477		1.052
dgoK	b3693		2.11
dgoR	b4479		3.559
recF	b3700		3.291
dnaN	b3701		5.028
gyrB	b3699		5.203
dnaA	b3702		5.284
na	b3703		6.151
na	b3704		5.328
na	b4557		5.447
na	b3707		-22.7
tnaA	b3708		1.81
mnmE	b3706		4.454
tnaB	b3709		-0.3665
yieE	b3712		3.647
mdtL	b3710		1.395
yidZ	b3711		2.881
yieF	b3713		5.254
yidC	b3705		5.723
yieH	b3715		3.853
cbrB	b3716		2.786
yieK	b3718		1.935
cbrC	b3717		3.438
adeP	b3714		4.723
bglB	b3721		0.6349
bglF	b3722		0.07483
na	b3719		1.099
na	b3720		0.5536
bglG	b3723		0.2968
phoU	b3724		4.645
pstB	b3725		4.517
pstA	b3726		3.475
pstC	b3727		3.711
na	b3728		4.615
glmU	b3730		5.912
glmS	b3729		6.327
na	b3731		6.927
atpD	b3732		7.449
atpG	b3733		7.354
atpH	b3735		6.696
atpF	b3736		7.646
na	b3737		7.893
rsmG	b3740		3.82
na	b3739		6.697
atpA	b3734		7.384
na	b3738		6.72
mnmG	b3741		4.455
asnC	b3743		3.429
mioC	b3742		6.364
asnA	b3744		4.071
kup	b3747		3.346
rbsD	b3748		4.487
viaA	b3745		3.752
ravA	b3746		4.527
rbsA	b3749		3.275
rbsC	b3750		3.491
na	b3751		4.411
rbsK	b3752		4.183
na	b3757		-22.7
na	b3756		1.735
rbsR	b3753		2.709
hsrA	b3754		2.854
yieP	b3755		4.071
na	b3760		-22.7
na	b3758		1.439
na	b3761		-22.7
na	b3759		-22.7
hdfR	b4480		4.259
yifB	b3765		1.648
na	b3766		-22.7
maoP	b3764		6.984
na	b4669		-22.7
na	b3768		5.025
na	b3769		4.588
na	b3767		6.48
ilvE	b3770		5.53
ilvY	b3773		2.451
ilvA	b3772		4.252
ilvD	b3771		4.7
na	b3775		5.66
na	b3776		4.697
na	b3777		3.821
rep	b3778		3.692
gpp	b3779		4.659
rhlB	b3780		6.065
trxA	b3781		7.677
na	b3782		-22.7
rfe	b3784		4.808
wzzE	b3785		4.62
rho	b3783		6.453
rffC	b3790		3.329
rffH	b3789		4.2
rffM	b3794		3.636
wecB	b3786		4.469
wecC	b3787		4.305
rffG	b3788		4.095
wecE	b3791		3.999
na	b3796		-22.7
wzxE	b3792		3.388
rffT	b4481		3.652
wzyE	b3793		2.447
na	b3797		-22.7
na	b3798		-22.7
aslA	b3801		2.129
na	b3799		-22.7
yifK	b3795		3.738
aslB	b3800		1.048
na	b4456		10.33
ilvC	b3774		7.416
na	b3803		4.772
hemY	b3802		4.862
hemD	b3804		4.421
hemC	b3805		5.374
cyaY	b3807		4.887
yzcX	b3808		1.656
na	b4558		6.524
cyaA	b3806		5.464
yigE	b4482		1.705
uvrD	b3813		4.301
yigF	b3817		2.038
yigG	b3818		-8.164
dapF	b3809		4.201
na	b3810		4.248
xerC	b3811		4.617
yigB	b3812		4.383
yigI	b3820		3.942
rarD	b3819		2.833
corA	b3816		4.656
na	b3821		4.394
recQ	b3822		3.813
rhtC	b3823		4.161
na	b3824		4.351
yigL	b3826		4.432
pldB	b3825		4.668
bioP	b3827		2.742
metR	b3828		4.185
ysgA	b3830		4.996
rmuC	b3832		2.646
ubiE	b3833		5.47
udp	b3831		6.098
na	b3836		7.348
ubiJ	b3834		4.658
ubiB	b3835		3.863
tatC	b3839		4.94
na	b3838		6.053
tatD	b4483		3.064
rfaH	b3842		4.276
fadA	b3845		2.198
fre	b3844		5.313
ubiD	b3843		5.03
fadB	b3846		1.805
trkH	b3849		3.925
na	b3851		1.886
hemG	b3850		4.675
na	b3852		-22.7
na	b3853		-22.7
na	b3855		-21.97
na	b3854		1.774
pepQ	b3847		5.36
yigZ	b3848		4.143
mobB	b3856		3.376
mobA	b3857		3.824
na	b3858		5.9
srkA	b3859		4.659
na	b3861		1.121
yihG	b3862		3.139
dsbA	b3860		6.337
na	b3864		-22.7
na	b3865		4.93
polA	b3863		4.655
na	b3866		5.472
na	b4457		9.873
na	b4686		-22.7
hemN	b3867		4.478
glnG	b3868		4.222
na	b3869		4.365
yihL	b3872		2.431
yihM	b3873		2.777
yihN	b3874		1.348
yihP	b3877		0.2845
yihO	b3876		0.4953
na	b3875		-0.246
yihQ	b3878		0.1478
yihR	b3879		0.6805
yihS	b3880		2.106
yihV	b3883		2.534
yihU	b3882		0.7337
yihT	b3881		1.417
na	b3884		4.039
glnA	b3870		7.263
na	b3889		-20.38
na	b3890		-4.183
bipA	b3871		6.392
fdhE	b3891		4.25
fdoI	b3892		3.27
fdoH	b3893		2.947
yihX	b3885		4.644
yihY	b3886		3.704
na	b3887		4.711
yiiD	b3888		4.636
fdhD	b3895		3.856
yiiG	b3896		1.257
rhaM	b3901		-5.644
frvA	b3900		-1.709
na	b3894		4.039
rhaD	b3902		0.3138
frvR	b3897		0.3637
frvX	b3898		1.811
frvB	b3899		-0.2138
rhaA	b3903		0.3333
rhaB	b3904		-0.2414
rhaS	b3905		1.438
rhaR	b3906		0.9183
rhaT	b3907		1.556
kdgT	b3909		1.981
yiiM	b3910		4.443
metE	b3829		7.61
na	b3911		4.738
na	b3912		5.884
na	b4484		4.573
na	b3908		7.021
fieF	b3915		4.831
cdh	b3918		3.261
na	b3917		4.625
yiiQ	b3920		4.538
pfkA	b3916		7.154
yiiR	b3921		3.874
na	b3922		5.769
uspD	b3923		5.987
fpr	b3924		4.95
glpK	b3926		3.069
glpF	b3927		1.766
glpX	b3925		4.155
tpiA	b3919		7.393
na	b3928		7.248
menA	b3930		3.585
rraA	b3929		6.945
hslV	b3932		4.987
hslU	b3931		5.412
cytR	b3934		4.175
ftsN	b3933		4.775
priA	b3935		3.186
yiiX	b3937		2.815
na	b3936		7.178
metJ	b3938		5.764
metB	b3939		4.601
metL	b3940		4.365
metF	b3941		5.26
yijF	b3944		0.3128
yijE	b3943		2.02
fsaB	b3946		1.404
gldA	b3945		4.451
frwC	b3949		-0.8342
frwB	b3950		-1.603
ptsA	b3947		0.3012
pflD	b3951		1.523
pflC	b3952		1.309
frwD	b3953		-2.031
yijO	b3954		3.133
katG	b3942		5.885
eptC	b3955		4.475
argE	b3957		5.295
argB	b3959		5.559
argC	b3958		5.333
na	b4458		-22.7
argH	b3960		5.383
trmA	b3965		4.755
na	b3963		5.424
yijD	b3964		5.134
oxyR	b3961		5.028
sthA	b3962		4.89
na	b3969		-22.7
na	b3968		1.779
na	b3971		-22.7
na	b3970		-22.7
btuB	b3966		4.552
murI	b3967		4.347
na	b3974		4.74
ppc	b3956		6.571
na	b3977		-22.7
na	b3976		-22.7
murB	b3972		4.791
birA	b3973		4.155
na	b3978		-22.7
na	b3979		-22.7
na	b3981		6.445
na	b3982		6.259
tufB	b3980		6.521
na	b3983		7.313
na	b3984		7.685
rplJ	b3985		8.575
na	b3986		8.93
yjaZ	b3989		2.643
na	b4691		7.839
rpoB	b3987		6.782
thiH	b3990		5.95
thiG	b3991		6.011
rsd	b3995		5.667
nudC	b3996		4.339
nfi	b3998		4.319
hemE	b3997		4.915
yjaG	b3999		5.08
zraP	b4002		3.372
yjaH	b4001		3.618
na	b4000		8.333
na	b4407		5.647
thiF	b3992		5.967
na	b3993		5.731
thiC	b3994		6.038
zraS	b4003		1.777
zraR	b4004		1.947
purD	b4005		5.014
na	b4008		-22.7
na	b4007		1.768
na	b4010		-22.7
na	b4009		1.006
na	b4011		-5.666
yjaB	b4012		3.005
rpoC	b3988		6.715
purH	b4006		5.043
metA	b4013		5.388
aceB	b4014		7.183
iclR	b4018		4.553
aceK	b4016		4.821
arpA	b4017		-0.1002
yjbB	b4020		3.13
pepE	b4021		4.331
na	b4023		5.657
rluF	b4022		4.783
metH	b4019		5.164
aceA	b4015		7.04
lysC	b4024		6.845
na	b4026		-0.2663
na	b4620		2.538
psiE	b4030		4.33
xylE	b4031		1.325
malF	b4033		2.791
malG	b4032		2.524
yjbF	b4027		-1.843
na	b4028		-1.607
yjbH	b4029		1.811
malK	b4035		2.816
na	b4034		4.659
na	b4038		-0.4661
lamB	b4036		4
malM	b4037		3.617
ubiA	b4040		4.117
ubiC	b4039		4.432
na	b4042		4.832
pgi	b4025		6.653
plsB	b4041		4.717
dinF	b4044		2.02
na	b4047		-21.65
na	b4045		5.191
yjbM	b4048		-1.564
na	b4043		5.612
zur	b4046		4.186
na	b4050		-0.8463
dusA	b4049		3.928
qorA	b4051		5.178
na	b4052		4.894
alr	b4053		4.181
na	b4621		-22.7
aphA	b4055		3.129
yjbQ	b4056		5.347
yjbR	b4057		5.002
tyrB	b4054		5.437
na	b4060		5.258
uvrA	b4058		4.24
na	b4059		5.715
pdeC	b4061		2.972
na	b4062		5.189
soxR	b4063		3.066
na	b4459		-12.09
yjcF	b4066		-0.197
na	b4065		3.676
ghxP	b4064		4.104
actP	b4067		2.086
na	b4068		2.894
nrfA	b4070		2.809
acs	b4069		3.372
nrfE	b4074		0.7242
nrfF	b4075		0.8386
nrfG	b4076		1.376
nrfB	b4071		1.29
nrfC	b4072		1.28
nrfD	b4073		-0.07851
gltP	b4077		3.814
yjcO	b4078		4.838
na	b4622		-22.7
yjcS	b4083		-0.4801
na	b4079		3.275
alsK	b4084		1.802
alsE	b4085		1.954
alsC	b4086		0.4302
alsA	b4087		0.277
mdtP	b4080		0.2882
mdtO	b4081		-0.3923
na	b4082		-0.5395
rpiB	b4090		2.487
alsR	b4089		4.074
na	b4088		2.301
na	b4487		3.662
phnP	b4092		2.607
phnC	b4106		-6.637
phnF	b4102		-12.21
na	b4105		-0.2512
phnO	b4093		3.158
phnN	b4094		1.44
phnM	b4095		-0.5864
phnL	b4096		-0.09917
yjdN	b4107		4.088
na	b4103		-20.85
na	b4104		-14.67
na	b4097		-5.061
phnJ	b4098		-1.643
phnI	b4099		-4.514
na	b4100		-13.28
phnG	b4101		-18.85
yjdM	b4108		4.674
crfC	b4109		2.354
yjcZ	b4110		1.308
basS	b4112		3.161
adiA	b4117		1.143
adiC	b4115		1.146
melR	b4118		3.056
adiY	b4116		3.184
proP	b4111		5.279
basR	b4113		4.016
eptA	b4114		1.906
melA	b4119		2.294
melB	b4120		1.827
yjdF	b4121		2.968
fumB	b4122		2.902
dcuB	b4123		3.259
na	b4559		-12.62
na	b4127		4.37
na	b4128		3.288
na	b4126		3.808
dcuR	b4124		3.889
dcuS	b4125		3.523
dtpC	b4130		1.887
cadB	b4132		-0.3887
lysU	b4129		4.548
cadA	b4131		0.3401
na	b4654		-21.38
cadC	b4133		2.326
na	b4134		-22.7
yjdC	b4135		5.424
dsbD	b4136		3.505
na	b4137		4.752
dcuA	b4138		5.819
na	b4140		4.348
aspA	b4139		4.98
yjeH	b4141		3.656
na	b4142		6.995
yjeJ	b4145		2.198
yjeI	b4144		6.323
epmB	b4146		4.335
na	b4410		-20.55
na	b4411		7.039
ampC	b4150		3.243
efp	b4147		6.84
na	b4148		3.861
blc	b4149		4.298
na	b4152		4.99
frdD	b4151		5.183
yjeM	b4156		1.334
epmA	b4155		3.414
yjeN	b4157		-6.26
na	b4158		1.061
frdB	b4153		4.763
frdA	b4154		5.159
mscM	b4159		3.132
psd	b4160		5.355
na	b4163		-22.7
orn	b4162		4.922
rsgA	b4161		5.216
na	b4164		-22.7
na	b4165		-22.7
amiB	b4169		3.975
groL	b4143		7.21
na	b4670		-22.7
nnr	b4167		4.346
tsaE	b4168		4.174
queG	b4166		3.554
mutL	b4170		4.071
miaA	b4171		6.277
na	b4172		7.379
hflX	b4173		5.708
na	b4176		0.03655
na	b4174		6.12
na	b4175		6.216
nsrR	b4178		4.259
yjfI	b4181		0.608
na	b4183		0.8452
rlmB	b4180		4.33
na	b4182		0.2114
yjfM	b4185		0.7272
yjfL	b4184		-4.332
yjfC	b4186		0.9463
bsmA	b4189		4.073
aidB	b4187		3.555
ulaG	b4192		2.082
ulaA	b4193		0.4624
na	b4188		2.925
ulaB	b4194		0.4053
rnr	b4179		5.124
ulaC	b4195		1.656
ulaD	b4196		2.66
yjfP	b4190		3.599
ulaR	b4191		3.772
na	b4199		0.5286
ulaE	b4197		1.883
ulaF	b4198		1.879
purA	b4177		7.406
na	b4200		7.419
na	b4201		7.987
na	b4202		7.344
yjfZ	b4204		1.463
na	b4205		-14.45
na	b4206		5.362
na	b4207		5.554
na	b4203		7.834
ytfE	b4209		1.844
ytfF	b4210		2.281
ytfH	b4212		2.848
cycA	b4208		4.833
na	b4211		3.069
cpdB	b4213		4.043
cysQ	b4214		4.842
ytfJ	b4216		2.195
ytfI	b4215		1.387
na	b4217		5.881
ytfL	b4218		3.533
msrA	b4219		5.421
na	b4224		3.572
chpB	b4225		2.822
na	b4222		6.702
na	b4223		-0.7523
tamA	b4220		4.42
tamB	b4221		3.94
ytfQ	b4227		2.837
ytfR	b4485		1.797
ytfT	b4230		1.042
yjfF	b4231		1.896
ppa	b4226		7.394
fbp	b4232		5.491
na	b4234		5.621
mpl	b4233		5.22
nrdG	b4237		3.275
na	b4236		5.089
pmbA	b4235		4.907
treC	b4239		2.026
treB	b4240		2.317
nrdD	b4238		4.013
treR	b4241		3.598
mgtA	b4242		3.075
ridA	b4243		7.578
pyrI	b4244		7.771
na	b4246		-15.71
yjgH	b4248		3.41
na	b4249		2.025
yjgL	b4253		2.492
tabA	b4252		5.201
bdcR	b4251		3.719
argI	b4254		5.171
yjgN	b4257		0.9551
yjgM	b4256		4.881
rraB	b4255		6.959
pyrB	b4245		7.217
lptF	b4261		3.903
na	b4262		4.33
idnT	b4265		2.291
idnD	b4267		1.606
pepA	b4260		5.618
idnR	b4264		3.892
idnO	b4266		2.108
idnK	b4268		1.907
yjgR	b4263		3.908
valS	b4258		5.795
holC	b4259		4.821
na	b4270		-22.7
ahr	b4269		4.164
intB	b4271		4.052
na	b4272		-22.7
na	G0-10546		-22.7
insD-6	b4273		-22.7
na	b4275		3.86
na	b4276		-1.554
yjgZ	b4277		-21.51
na	b4274		2.438
na	b4560		-3.785
yjhB	b4279		2.428
na	b4655		-22.7
insG	b4278		3.268
insO	b4283		4.132
na	b4282		-14.83
na	b4281		3.319
yjhC	b4280		3.286
fecE	b4287		3.041
insI-3	b4284		4.542
na	b4561		3.054
na	b4285		1.575
na	b4562		-15.88
yjhV	b4286		1.273
na	b4291		2.556
fecD	b4288		1.377
fecC	b4289		1.077
na	b4290		2.675
na	b4564		-2.993
na	b4294		4.069
na	b4563		0.3553
fecR	b4292		3.28
fecI	b4293		4.413
yjhF	b4296		1.056
yjhG	b4297		2.153
yjhI	b4299		0.4806
yjhU	b4295		4.914
yjhH	b4298		1.432
sgcR	b4300		2.767
sgcE	b4301		2.188
sgcQ	b4303		2.011
sgcC	b4304		1.483
na	b4656		4.876
na	b4307		1.924
na	b4565		-3.851
sgcX	b4305		1.445
sgcA	b4302		2.647
na	b4624		-22.7
na	b4566		2.615
yjhP	b4306		1.355
yjhR	b4308		1.632
nanC	b4311		-0.1197
na	b4657		-3.262
nanS	b4309		1.859
na	b4310		3.556
fimB	b4312		4.709
fimE	b4313		2.138
fimI	b4315		4.736
na	b4316		4.009
fimF	b4318		2.838
fimG	b4319		3.036
fimD	b4317		2.893
fimA	b4314		6.588
uxuA	b4322		2.811
fimH	b4320		3.174
gntP	b4321		1.537
uxuB	b4323		2.495
yjiC	b4325		-1.339
uxuR	b4324		4.134
iraD	b4326		3.303
hypT	b4327		3.216
yjiJ	b4332		1.486
kptA	b4331		3.222
yjiG	b4329		0.9024
na	b4330		1.182
yjiL	b4334		2.017
yjiK	b4333		2.402
iadA	b4328		3.92
yjiM	b4335		2.598
yjiN	b4336		3.069
mdtM	b4337		2.506
na	b4338		1.979
yjiR	b4340		2.413
na	b4341		-22.7
na	b4339		3.239
yjiT	b4342		4.461
yjiV	b4486		2.907
mcrC	b4345		2.535
mcrB	b4346		3.982
symE	b4347		2.47
na	b4625		-22.7
hsdS	b4348		3.705
hsdM	b4349		3.917
mrr	b4351		4.581
na	b4353		0.6786
btsT	b4354		1.984
yjiA	b4352		4.338
hsdR	b4350		4.581
lgoD	b4358		-0.3085
na	b4355		2.117
lgoR	b4357		2.05
lgoT	b4356		1.922
na	b4360		4.802
dnaC	b4361		4.058
opgB	b4359		3.864
na	b4362		4.534
yjjB	b4363		2.657
yjjQ	b4365		0.09371
yjjP	b4364		3.45
bglJ	b4366		1.033
na	b4368		-22.7
na	b4369		-22.7
na	b4370		-22.7
na	b4567		-2.015
rsmC	b4371		4.246
holD	b4372		4.668
na	b4373		4.53
yjjG	b4374		4.102
fhuF	b4367		6.009
prfC	b4375		4.912
na	b4568		6.622
yjjU	b4377		3.129
yjjV	b4378		1.934
yjjW	b4379		2.502
yjjI	b4380		3.368
deoC	b4381		4.344
na	b4376		6.452
deoA	b4382		4.228
deoB	b4383		5.76
yjjJ	b4385		3.529
lplA	b4386		3.4
ytjB	b4387		3.398
serB	b4388		4.352
deoD	b4384		6.266
radA	b4389		4.234
nadR	b4390		4.506
na	b4393		4.95
slt	b4392		4.241
yjjX	b4394		4.419
ettA	b4391		5.79
creA	b4397		4.791
creD	b4400		2.012
creB	b4398		4.107
creC	b4399		2.765
ytjC	b4395		4.217
rob	b4396		5.896
na	b4402		-20.03
arcA	b4401		7.126
yjtD	b4403		3.711
