Search Gene	Found FBGN	Found Gene	extended cold, 4-day adult	cold shock, 4-day adult	heat shock, 4-day adult	Cadmium 50 mM 6 hrs, larvae L3	Cadmium 50 mM 12 hrs, larvae L3	Cadmium 50 mM 48 hrs, 4-day adult	Cadmium 100 mM 48 hrs, 4-day adult	Copper 0.5 mM 12 hrs, larvae L3	Copper 15 mM 48 hrs, 4-day adult	Zinc 5 mM 12 hrs, larvae L3	Zinc 4.5 mM 48 hrs, 4-day adult	Ethanol 2.5% 3 hrs, larvae L3	Ethanol 5% 3 hrs, larvae L3	Ethanol 10% 3 hrs, larvae L3	Caffeine 1.5 mg/ml 4 hrs, larvae L3	Caffeine 2.5 mg/ml 48 hrs, 4-day adult	Caffeine 25 mg/ml 48 hrs, 4-day adult	Paraquat 5 mM 48 hrs, 4-day adult	Paraquat 10 mM 48 hrs, 4-day adult	Rotenone 2 µg 12 hrs, larvae L3	Rotenone 8 µg 12 hrs, larvae L3	Rotenone starved, 10-day adult	Sindbis virus, larval stage	Sindbis virus, pupal stage	Sindbis virus, 4-day adult male	Sindbis virus, 4-day adult female	Resveratrol 100uM, 10-day adult
FBgn0052054	FBgn0052054	CG32054	1	1	2	2	3	3	1	0	1	0	4	1	4	1	5	2	1	1	4	10	3	8	13	1	32	17	10
FBgn0052055	FBgn0052055	CG32055	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	16	0	0	0
FBgn0052056	FBgn0052056	scramb1	3	6	4	5	11	3	5	1	4	1	4	7	5	4	5	4	3	6	8	6	5	7	8	16	10	11	8
FBgn0052057	FBgn0052057	dpr10	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	3	2	2	0	1	2
FBgn0052058	FBgn0052058	Ir67c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FBgn0052061	FBgn0052061	CG32061	1	1	1	1	2	3	5	0	12	0	11	4	1	0	1	1	1	6	5	1	0	2	8	5	0	0	1
FBgn0052062	FBgn0052062	A2bp1	6	6	5	2	4	5	9	2	22	4	21	6	4	2	4	8	6	8	7	3	2	6	6	13	2	6	13
FBgn0052064	FBgn0052064	S-Lap4	24	20	45	9	26	50	82	8	54	9	118	116	7	9	14	40	24	129	201	10	9	60	425	133	10	2	68
FBgn0052066	FBgn0052066	CG32066	7	7	12	6	9	13	22	5	23	3	16	22	8	6	6	20	8	17	19	8	6	10	13	33	13	25	18
FBgn0052068	FBgn0052068	Adi1	14	13	59	69	80	59	38	17	36	25	41	46	151	69	150	58	18	64	61	106	36	31	51	65	81	63	43
FBgn0052072	FBgn0052072	Elo68alpha	1	1	3	2	1	1	0	0	0	0	11	4	1	1	1	0	2	4	1	1	0	5	72	0	0	1	4
FBgn0052073	FBgn0052073	CG32073	1	0	16	17	14	6	2	35	1	4	3	3	19	18	11	0	2	2	3	7	7	4	2	2	1	0	1
FBgn0052074	FBgn0052074	CG32074	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	2	0	0	12	0	0
FBgn0052075	FBgn0052075	CG32075	2	1	5	3	5	6	9	3	3	1	4	8	3	3	2	8	2	8	5	6	2	5	2	4	5	8	4
FBgn0052076	FBgn0052076	Alg10	0	1	5	3	5	5	5	1	1	0	2	9	4	3	5	4	1	3	7	5	3	12	9	20	11	12	17
